STT,Loại hình cân,QR phế thải,Nhà máy - Phòng ban,Tên nhà thầu,Biển số xe,Mã nhóm phế thải,Nhóm phế thải,Mã phế thải,Tên phế thải nội bộ,Tên phế thải ngoại bộ,Tên phế thải tiếng anh,Phương pháp xử lí,Đặc tính,Phân loại,Cột biểu đồ,Phương pháp cân,Số vạch,Hệ số,Số Pallet,KL pallet,KL bao bì,KL/đơn vị,Mã xe đẩy,Trọng lượng xe đẩy,KL Tổng,KL bì,KL phế thải,Tên bản ghi,Thời gian tạo,Người vận hành
58,Output,S08W1TTP,,Tân Thuận Phong,19DS-3243,S08,Cu containing Waste,S08W1,Bùn hữu cơ ,Bùn hữu cơ từ hệ thống xử lý nước thải dây truyền mạ,Organic sludge from Waste water treatment system (HW code: 12 06 06),Recycle,Nguy hại,Rác thuê xử lý,Recycle_Special_Controlled_Waste,Bao bì,0,0.00,0,0.00,2.00,0.00,,0.00,180.00,2.00,178.00,20250404-F1-GIAO-TTP-19DS3243-01,4/4/2025 11:22:21 AM,Ngô Viết Đàn - ID:PA0058,
59,Output,S12W1TTP,,Tân Thuận Phong,19DS-3243,S12,Waste Alkaline,S12W1,Lonox 5314; 5611,Nước thải bazo ( Lonox 5314; 5611),Pickling bases (Lonox 5314; 5611)(HW code: 07 01 03),Recycle,Nguy hại,Rác thuê xử lý,Recycle_Special_Controlled_Waste,Thùng phuy và pallet,0,0.00,2,11.00,58.00,0.00,,0.00,180.00,80.00,100.00,20250404-F1-GIAO-TTP-19DS3243-01,4/4/2025 10:17:11 AM,Ngô Viết Đàn - ID:PA0058,
60,Output,S13W5TT,,Thuận Thành,18AE-1234,S13,Other Hazardous Waste,S13W5,Bao bì nhựa thải,Bao bì cứng bằng nhựa thải,Hard packaging made of plastic (HW code: 18 01 03),Recycle,Nguy hại,Rác thuê xử lý,Recycle_Special_Controlled_Waste,Cân đếm,0,0.00,5,0.00,0.00,0.00,,0.00,900.00,0.00,900.00,20250404-F1-GIAO-TT-18AE1234-01,4/4/2025 9:28:43 AM,Ngô Viết Đàn - ID:PA0058,
61,Input,N01W1F1MIC,F1-Micro,,,N01,Waste Plastic,N01W1,Nhựa PP (nilon),White P plastic ( Phế liệu nhựa loại 6),Protected film from DFR roll,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân đếm,0,0.00,2,0.00,0.00,0.00,,0.00,360.00,0.00,360.00,20250403-F1-NHAN,4/3/2025 4:56:28 PM,Ngô Viết Đàn - ID:PA0058. ,
62,Output,S12W1TT,,Thuận Thành,18AE-1234,S12,Waste Alkaline,S12W1,Lonox 5314; 5611,Nước thải bazo ( Lonox 5314; 5611),Pickling bases (Lonox 5314; 5611)(HW code: 07 01 03),Recycle,Nguy hại,Rác thuê xử lý,Recycle_Special_Controlled_Waste,Thùng phuy và pallet,0,0.00,3,11.00,58.00,0.00,,0.00,180.00,91.00,89.00,20250327-F1-GIAO-TT-18AE1234-02,3/27/2025 4:16:39 PM,Ngô Viết Đàn,
63,Output,S12W1TT,,Thuận Thành,18AE-1234,S12,Waste Alkaline,S12W1,Lonox 5314; 5611,Nước thải bazo ( Lonox 5314; 5611),Pickling bases (Lonox 5314; 5611)(HW code: 07 01 03),Recycle,Nguy hại,Rác thuê xử lý,Recycle_Special_Controlled_Waste,Thùng phuy và pallet,0,0.00,2,11.00,58.00,0.00,,0.00,180.00,80.00,100.00,20250327-F1-GIAO-TT-18AE1234-02,3/27/2025 4:16:25 PM,Ngô Viết Đàn,
64,Input,N01W11F1BNA,F1-SMT BNA,,,N01,Waste Plastic,N01W11,Plastic tray,,Plastic tray,Internal Reuse 2,Tái chế,Rác bán lấy tiền,In_Non_hazardous_Waste,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,180.00,0.00,180.00,20250327-F1-NHAN,3/27/2025 4:13:55 PM,Ngô Viết Đàn,
65,Input,N01W11F1BNA,F1-SMT BNA,,,N01,Waste Plastic,N01W11,Plastic tray,,Plastic tray,Internal Reuse 2,Tái chế,Rác bán lấy tiền,In_Non_hazardous_Waste,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,180.00,0.00,180.00,20250327-F1-NHAN,3/27/2025 4:13:40 PM,Ngô Viết Đàn,
66,Input,N01W11F1BNA,F1-SMT BNA,,,N01,Waste Plastic,N01W11,Plastic tray,,Plastic tray,Internal Reuse 2,Tái chế,Rác bán lấy tiền,In_Non_hazardous_Waste,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,180.00,0.00,180.00,20250327-F1-NHAN,3/27/2025 4:13:21 PM,Ngô Viết Đàn,
67,Output,M01W2TT,,Thuận Thành,18AE-1234,M01,Household Waste,M01W2,Hút bể phốt,Bùn từ hệ thống xử lý nước thải sinh hoạt; bể phốt; bể mỡ,Sludge from domestic wastewater treatment systems; septic tanks; grease traps,Recycle,Không nguy hại; không tái chế,Rác thuê xử lý,Recycle_Special_Controlled_Waste,Cân từ trạm cân,0,0.00,0,0.00,0.00,0.00,,0.00,0.00,0.00,44545.45,20250327-F1-GIAO-TT-18AE1234-01,3/27/2025 3:23:52 PM,Ngô Viết Đàn,
68,Input,N01W12F1WWT,F1-WWT,,,N01,Waste Plastic,N01W12,Plastic pallet,,Plastic pallet,Internal Reuse 3,Tái chế,Rác bán lấy tiền,In_Non_hazardous_Waste,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,180.00,0.00,180.00,20250327-F1-NHAN,3/27/2025 2:57:23 PM,Ngô Viết Đàn,
69,Output,N02W5TL,,Thăng Long,17M7-6429,N02,Waste Paper,N02W5,Giấy trắng,White paper scrap (Phế liệu giấy loại 2) ,White paper ,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân xe đẩy,0,0.00,0,0.00,45.00,0.00,,0.00,180.00,45.00,135.00,20250327-F1-GIAO-TL-17M76429-02,3/27/2025 2:57:07 PM,Ngô Viết Đàn,
70,Output,N02W5TL,,Thăng Long,17M7-6429,N02,Waste Paper,N02W5,Giấy trắng,White paper scrap (Phế liệu giấy loại 2) ,White paper ,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân xe đẩy,0,0.00,0,0.00,45.00,0.00,,0.00,180.00,45.00,135.00,20250327-F1-GIAO-TL-17M76429-02,3/27/2025 2:57:04 PM,Ngô Viết Đàn,
71,Output,N02W5TL,,Thăng Long,17M7-6429,N02,Waste Paper,N02W5,Giấy trắng,White paper scrap (Phế liệu giấy loại 2) ,White paper ,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân xe đẩy,0,0.00,0,0.00,45.00,0.00,,0.00,180.00,45.00,135.00,20250327-F1-GIAO-TL-17M76429-02,3/27/2025 2:57:01 PM,Ngô Viết Đàn,
72,Output,N02W5TL,,Thăng Long,17M7-6429,N02,Waste Paper,N02W5,Giấy trắng,White paper scrap (Phế liệu giấy loại 2) ,White paper ,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân xe đẩy,0,0.00,0,0.00,45.00,0.00,,0.00,180.00,45.00,135.00,20250327-F1-GIAO-TL-17M76429-02,3/27/2025 2:56:59 PM,Ngô Viết Đàn,
73,Output,N02W5TL,,Thăng Long,17M7-6429,N02,Waste Paper,N02W5,Giấy trắng,White paper scrap (Phế liệu giấy loại 2) ,White paper ,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân xe đẩy,0,0.00,0,0.00,45.00,0.00,,0.00,180.00,45.00,135.00,20250327-F1-GIAO-TL-17M76429-02,3/27/2025 2:56:56 PM,Ngô Viết Đàn,
74,Output,N02W5TL,,Thăng Long,17M7-6429,N02,Waste Paper,N02W5,Giấy trắng,White paper scrap (Phế liệu giấy loại 2) ,White paper ,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân xe đẩy,0,0.00,0,0.00,45.00,0.00,,0.00,180.00,45.00,135.00,20250327-F1-GIAO-TL-17M76429-02,3/27/2025 2:56:54 PM,Ngô Viết Đàn,
75,Output,N02W5TL,,Thăng Long,17M7-6429,N02,Waste Paper,N02W5,Giấy trắng,White paper scrap (Phế liệu giấy loại 2) ,White paper ,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân xe đẩy,0,0.00,0,0.00,45.00,0.00,,0.00,180.00,45.00,135.00,20250327-F1-GIAO-TL-17M76429-02,3/27/2025 2:56:50 PM,Ngô Viết Đàn,
76,Output,N02W5TL,,Thăng Long,17M7-6429,N02,Waste Paper,N02W5,Giấy trắng,White paper scrap (Phế liệu giấy loại 2) ,White paper ,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân xe đẩy,0,0.00,0,0.00,45.00,0.00,,0.00,180.00,45.00,135.00,20250327-F1-GIAO-TL-17M76429-02,3/27/2025 2:56:47 PM,Ngô Viết Đàn,
77,Input,N01W1F1DEE,F1-DE,,,N01,Waste Plastic,N01W1,Nhựa PP (nilon),White P plastic ( Phế liệu nhựa loại 6),Protected film from DFR roll,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,180.00,0.00,180.00,20250327-F1-NHAN,3/27/2025 2:56:28 PM,Ngô Viết Đàn,
78,Input,N01W1F1DEE,F1-DE,,,N01,Waste Plastic,N01W1,Nhựa PP (nilon),White P plastic ( Phế liệu nhựa loại 6),Protected film from DFR roll,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,180.00,0.00,180.00,20250327-F1-NHAN,3/27/2025 2:56:19 PM,Ngô Viết Đàn,
79,Output,S13W1TTP,,Tân Thuận Phong,19DS-3243,S13,Other Hazardous Waste,S13W1,Giẻ lau; găng tay nguy hại,Chất hấp thụ; vật liệu lọc; giẻ lau; găng tay dính dầu mỡ; dính mực,Absorbents; filter materials; wiping cloths; protective clothing contaminated by dangerous substances (HW code: 18 02 01),Incineration without WtE,Nguy hại,Rác thuê xử lý,Other special control waste,Bao bì,0,0.00,0,0.00,2.00,0.00,,0.00,180.00,2.00,178.00,20250326-F1-GIAO-TTP-19DS3243-01,3/26/2025 12:41:56 PM,a,
80,Output,S13W1TTP,,Tân Thuận Phong,19DS-3243,S13,Other Hazardous Waste,S13W1,Giẻ lau; găng tay nguy hại,Chất hấp thụ; vật liệu lọc; giẻ lau; găng tay dính dầu mỡ; dính mực,Absorbents; filter materials; wiping cloths; protective clothing contaminated by dangerous substances (HW code: 18 02 01),Incineration without WtE,Nguy hại,Rác thuê xử lý,Other special control waste,Bao bì,0,0.00,0,0.00,2.00,0.00,,0.00,180.00,2.00,178.00,20250326-F1-GIAO-TTP-19DS3243-01,3/26/2025 12:41:52 PM,a,
81,Output,S13W1TTP,,Tân Thuận Phong,19DS-3243,S13,Other Hazardous Waste,S13W1,Giẻ lau; găng tay nguy hại,Chất hấp thụ; vật liệu lọc; giẻ lau; găng tay dính dầu mỡ; dính mực,Absorbents; filter materials; wiping cloths; protective clothing contaminated by dangerous substances (HW code: 18 02 01),Incineration without WtE,Nguy hại,Rác thuê xử lý,Other special control waste,Bao bì,0,0.00,0,0.00,2.00,0.00,,0.00,180.00,2.00,178.00,20250326-F1-GIAO-TTP-19DS3243-01,3/26/2025 12:41:49 PM,a,
82,Output,S13W1TTP,,Tân Thuận Phong,19DS-3243,S13,Other Hazardous Waste,S13W1,Giẻ lau; găng tay nguy hại,Chất hấp thụ; vật liệu lọc; giẻ lau; găng tay dính dầu mỡ; dính mực,Absorbents; filter materials; wiping cloths; protective clothing contaminated by dangerous substances (HW code: 18 02 01),Incineration without WtE,Nguy hại,Rác thuê xử lý,Other special control waste,Bao bì,0,0.00,0,0.00,2.00,0.00,,0.00,180.00,2.00,178.00,20250326-F1-GIAO-TTP-19DS3243-01,3/26/2025 12:41:46 PM,a,
83,Output,S13W1TTP,,Tân Thuận Phong,19DS-3243,S13,Other Hazardous Waste,S13W1,Giẻ lau; găng tay nguy hại,Chất hấp thụ; vật liệu lọc; giẻ lau; găng tay dính dầu mỡ; dính mực,Absorbents; filter materials; wiping cloths; protective clothing contaminated by dangerous substances (HW code: 18 02 01),Incineration without WtE,Nguy hại,Rác thuê xử lý,Other special control waste,Bao bì,0,0.00,0,0.00,2.00,0.00,,0.00,180.00,2.00,178.00,20250326-F1-GIAO-TTP-19DS3243-01,3/26/2025 12:41:38 PM,,
84,Output,S13W13TT,,Thuận Thành,18AE-1234,S13,Other Hazardous Waste,S13W13,Thiết bị;linh kiện thải,Các thiết bị; bộ phận; linh kiện điện tử thải (trừ bản mạch điện tử không chứa các thành phần nguy hại vượt ngưỡng CTNH),Waste equipment and components with hazardous substance,Recycle,Nguy hại,Rác thuê xử lý,Recycle_Special_Controlled_Waste,Bao bì,0,0.00,0,0.00,2.00,0.00,,0.00,180.00,2.00,178.00,20250326-F1-GIAO-TT-18AE1234-01,3/26/2025 12:39:03 PM,,
85,Output,S13W13TT,,Thuận Thành,18AE-1234,S13,Other Hazardous Waste,S13W13,Thiết bị;linh kiện thải,Các thiết bị; bộ phận; linh kiện điện tử thải (trừ bản mạch điện tử không chứa các thành phần nguy hại vượt ngưỡng CTNH),Waste equipment and components with hazardous substance,Recycle,Nguy hại,Rác thuê xử lý,Recycle_Special_Controlled_Waste,Bao bì,0,0.00,0,0.00,2.00,0.00,,0.00,180.00,2.00,178.00,20250326-F1-GIAO-TT-18AE1234-01,3/26/2025 12:37:32 PM,,
86,Output,S13W13TT,,Thuận Thành,18AE-1234,S13,Other Hazardous Waste,S13W13,Thiết bị;linh kiện thải,Các thiết bị; bộ phận; linh kiện điện tử thải (trừ bản mạch điện tử không chứa các thành phần nguy hại vượt ngưỡng CTNH),Waste equipment and components with hazardous substance,Recycle,Nguy hại,Rác thuê xử lý,Recycle_Special_Controlled_Waste,Bao bì,0,0.00,0,0.00,2.00,0.00,,0.00,180.00,2.00,178.00,20250326-F1-GIAO-TT-18AE1234-01,3/26/2025 12:37:09 PM,,
87,Output,S13W13TT,,Thuận Thành,18AE-1234,S13,Other Hazardous Waste,S13W13,Thiết bị;linh kiện thải,Các thiết bị; bộ phận; linh kiện điện tử thải (trừ bản mạch điện tử không chứa các thành phần nguy hại vượt ngưỡng CTNH),Waste equipment and components with hazardous substance,Recycle,Nguy hại,Rác thuê xử lý,Recycle_Special_Controlled_Waste,Bao bì,0,0.00,0,0.00,2.00,0.00,,0.00,180.00,2.00,178.00,20250326-F1-GIAO-TT-18AE1234-01,3/26/2025 12:36:10 PM,,
88,Output,S13W13TT,,Thuận Thành,18AE-1234,S13,Other Hazardous Waste,S13W13,Thiết bị;linh kiện thải,Các thiết bị; bộ phận; linh kiện điện tử thải (trừ bản mạch điện tử không chứa các thành phần nguy hại vượt ngưỡng CTNH),Waste equipment and components with hazardous substance,Recycle,Nguy hại,Rác thuê xử lý,Recycle_Special_Controlled_Waste,Bao bì,0,0.00,0,0.00,2.00,0.00,,0.00,180.00,2.00,178.00,20250326-F1-GIAO-TT-18AE1234-01,3/26/2025 12:36:06 PM,,
89,Output,S13W13TT,,Thuận Thành,18AE-1234,S13,Other Hazardous Waste,S13W13,Thiết bị;linh kiện thải,Các thiết bị; bộ phận; linh kiện điện tử thải (trừ bản mạch điện tử không chứa các thành phần nguy hại vượt ngưỡng CTNH),Waste equipment and components with hazardous substance,Recycle,Nguy hại,Rác thuê xử lý,Recycle_Special_Controlled_Waste,Bao bì,0,0.00,0,0.00,2.00,0.00,,0.00,180.00,2.00,178.00,20250326-F1-GIAO-TT-18AE1234-01,3/26/2025 11:46:33 AM,,
90,Output,S13W13TT,,Thuận Thành,18AE-1234,S13,Other Hazardous Waste,S13W13,Thiết bị;linh kiện thải,Các thiết bị; bộ phận; linh kiện điện tử thải (trừ bản mạch điện tử không chứa các thành phần nguy hại vượt ngưỡng CTNH),Waste equipment and components with hazardous substance,Recycle,Nguy hại,Rác thuê xử lý,Recycle_Special_Controlled_Waste,Bao bì,0,0.00,0,0.00,2.00,0.00,,0.00,180.00,2.00,178.00,20250326-F1-GIAO-TT-18AE1234-01,3/26/2025 11:45:53 AM,,
91,Output,S13W13TT,,Thuận Thành,18AE-1234,S13,Other Hazardous Waste,S13W13,Thiết bị;linh kiện thải,Các thiết bị; bộ phận; linh kiện điện tử thải (trừ bản mạch điện tử không chứa các thành phần nguy hại vượt ngưỡng CTNH),Waste equipment and components with hazardous substance,Recycle,Nguy hại,Rác thuê xử lý,Recycle_Special_Controlled_Waste,Bao bì,0,0.00,0,0.00,2.00,0.00,,0.00,180.00,2.00,178.00,20250326-F1-GIAO-TT-18AE1234-01,3/26/2025 11:38:36 AM,,
92,Output,N1521TL,,Thăng Long,17M7-6429,N15,Other Waste,N1521,aaaaaaaaaaa,,aaaaaaaaaaa,Recycle,Nguy hại,Rác thuê xử lý,Paper contain Nylon ,Cân xe đẩy,0,0.00,0,0.00,50.00,0.00,,0.00,98.70,50.00,48.70,20250319-F1-GIAO-TL-17M76429-01,3/19/2025 11:15:39 AM,,
93,Output,N1521TL,,Thăng Long,17M7-6429,N15,Other Waste,N1521,aaaaaaaaaaa,,aaaaaaaaaaa,Recycle,Nguy hại,Rác thuê xử lý,Paper contain Nylon ,Cân xe đẩy,0,0.00,0,0.00,50.00,0.00,,0.00,98.90,50.00,48.90,20250319-F1-GIAO-TL-17M76429-01,3/19/2025 11:15:09 AM,,
94,Input,S13W4F2UV2,F2-UV2,,,S13,Other Hazardous Waste,S13W4,Pin; ắc quy thải,Pin; ắc quy thải,Batteries waste ,Recycle,Nguy hại,Rác thuê xử lý,Recycle_Special_Controlled_Waste,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,33.90,0.00,33.90,20250319-F1-NHAN,3/19/2025 10:59:37 AM,,
95,Input,N01W3F1RGM,F1-RGO Manual,,,N01,Waste Plastic,N01W3,Nhựa màu,Color plastic scrap ( Phế liệu nhựa màu),Color plastic,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,33.80,0.00,33.80,20250319-F1-NHAN,3/19/2025 10:48:21 AM,,
96,Input,N01W3F1QCO,F1-QC OTHERS,,,N01,Waste Plastic,N01W3,Nhựa màu,Color plastic scrap ( Phế liệu nhựa màu),Color plastic,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,33.40,0.00,33.40,20250319-F1-NHAN,3/19/2025 10:46:03 AM,,
97,Input,N01W2F2NC2,F2-NCC,,,N01,Waste Plastic,N01W2,Nhựa PVC,White C Plastic ( Phế liệu nhựa loại 5),Material roll by PVC plastic,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,33.50,0.00,33.50,20250319-F1-NHAN,3/19/2025 10:45:52 AM,,
98,Input,N01W2F5STF,F5-Stiffener,,,N01,Waste Plastic,N01W2,Nhựa PVC,White C Plastic ( Phế liệu nhựa loại 5),Material roll by PVC plastic,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,33.40,0.00,33.40,20250319-F1-NHAN,3/19/2025 10:45:34 AM,,
99,Input,N01W1F5EXP,F5-Exposing,,,N01,Waste Plastic,N01W1,Nhựa PP (nilon),White P plastic ( Phế liệu nhựa loại 6),Protected film from DFR roll,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,33.60,0.00,33.60,20250319-F1-NHAN,3/19/2025 10:45:17 AM,,
100,Input,N01W1F5EXP,F5-Exposing,,,N01,Waste Plastic,N01W1,Nhựa PP (nilon),White P plastic ( Phế liệu nhựa loại 6),Protected film from DFR roll,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,24.90,0.00,24.90,20250319-F1-NHAN,3/19/2025 10:44:42 AM,,
101,Input,N01W1F5EXP,F5-Exposing,,,N01,Waste Plastic,N01W1,Nhựa PP (nilon),White P plastic ( Phế liệu nhựa loại 6),Protected film from DFR roll,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,24.20,0.00,24.20,20250319-F1-NHAN,3/19/2025 10:43:56 AM,,
102,Output,N1521TL,,Thăng Long,17M7-6429,N15,Other Waste,N1521,aaaaaaaaaaa,,aaaaaaaaaaa,Recycle,Nguy hại,Rác thuê xử lý,Paper contain Nylon ,Cân xe đẩy,0,0.00,0,0.00,50.00,0.00,,0.00,180.00,50.00,130.00,20250318-F6-GIAO-TL-17M76429,3/18/2025 3:00:16 PM,,
103,Output,N1521TL,,Thăng Long,17M7-6429,N15,Other Waste,N1521,aaaaaaaaaaa,,aaaaaaaaaaa,Recycle,Nguy hại,Rác thuê xử lý,Paper contain Nylon ,Cân xe đẩy,0,0.00,0,0.00,50.00,0.00,,0.00,180.00,50.00,130.00,20250318-F6-GIAO-TL-17M76429,3/18/2025 3:00:12 PM,,
104,Output,N1521TL,,Thăng Long,17M7-6429,N15,Other Waste,N1521,aaaaaaaaaaa,,aaaaaaaaaaa,Recycle,Nguy hại,Rác thuê xử lý,Paper contain Nylon ,Cân xe đẩy,0,0.00,0,0.00,50.00,0.00,,0.00,180.00,50.00,130.00,20250318-F6-GIAO-TL-17M76429,3/18/2025 3:00:09 PM,,
105,Output,N1521TL,,Thăng Long,17M7-6429,N15,Other Waste,N1521,aaaaaaaaaaa,,aaaaaaaaaaa,Recycle,Nguy hại,Rác thuê xử lý,Paper contain Nylon ,Cân xe đẩy,0,0.00,0,0.00,50.00,0.00,,0.00,180.00,50.00,130.00,20250318-F6-GIAO-TL-17M76429,3/18/2025 3:00:04 PM,,
106,Output,N1521TL,,Thăng Long,17M7-6429,N15,Other Waste,N1521,aaaaaaaaaaa,,aaaaaaaaaaa,Recycle,Nguy hại,Rác thuê xử lý,Paper contain Nylon ,Cân xe đẩy,0,0.00,0,0.00,50.00,0.00,,0.00,180.00,50.00,130.00,20250318-F6-GIAO-TL-17M76429,3/18/2025 3:00:01 PM,,
107,Output,N1521TL,,Thăng Long,17M7-6429,N15,Other Waste,N1521,aaaaaaaaaaa,,aaaaaaaaaaa,Recycle,Nguy hại,Rác thuê xử lý,Paper contain Nylon ,Cân xe đẩy,0,0.00,0,0.00,50.00,0.00,,0.00,180.00,50.00,130.00,20250318-F6-GIAO-TL-17M76429,3/18/2025 2:59:55 PM,,
108,Output,N1521TL,,Thăng Long,17M7-6429,N15,Other Waste,N1521,aaaaaaaaaaa,,aaaaaaaaaaa,Recycle,Nguy hại,Rác thuê xử lý,Paper contain Nylon ,Cân xe đẩy,0,0.00,0,0.00,50.00,0.00,,0.00,180.00,50.00,130.00,20250318-F6-GIAO-TL-17M76429,3/18/2025 2:59:51 PM,,
109,Output,N1521TL,,Thăng Long,17M7-6429,N15,Other Waste,N1521,aaaaaaaaaaa,,aaaaaaaaaaa,Recycle,Nguy hại,Rác thuê xử lý,Paper contain Nylon ,Cân xe đẩy,0,0.00,0,0.00,50.00,0.00,,0.00,180.00,50.00,130.00,20250318-F6-GIAO-TL-17M76429,3/18/2025 2:59:46 PM,,
110,Output,S12W1TTP,,Tân Thuận Phong,19DS-3243,S12,Waste Alkaline,S12W1,Lonox 5314; 5611,Nước thải bazo ( Lonox 5314; 5611),Pickling bases (Lonox 5314; 5611)(HW code: 07 01 03),Recycle,Nguy hại,Rác thuê xử lý,Recycle_Special_Controlled_Waste,Thùng phuy và pallet,0,0.00,2,11.00,58.00,0.00,,0.00,180.00,80.00,100.00,20250301-F1-GIAO-TTP-19DS3243-01,3/1/2025 7:47:32 AM,,
111,Output,S12W1TTP,,Tân Thuận Phong,19DS-3243,S12,Waste Alkaline,S12W1,Lonox 5314; 5611,Nước thải bazo ( Lonox 5314; 5611),Pickling bases (Lonox 5314; 5611)(HW code: 07 01 03),Recycle,Nguy hại,Rác thuê xử lý,Recycle_Special_Controlled_Waste,Thùng phuy và pallet,0,0.00,5,11.00,58.00,0.00,,0.00,180.00,113.00,67.00,20250301-F1-GIAO-TTP-19DS3243-01,3/1/2025 7:47:20 AM,,
112,Output,S12W1TTP,,Tân Thuận Phong,19DS-3243,S12,Waste Alkaline,S12W1,Lonox 5314; 5611,Nước thải bazo ( Lonox 5314; 5611),Pickling bases (Lonox 5314; 5611)(HW code: 07 01 03),Recycle,Nguy hại,Rác thuê xử lý,Recycle_Special_Controlled_Waste,Thùng phuy và pallet,0,0.00,2,11.00,58.00,0.00,,0.00,180.00,80.00,100.00,20250301-F1-GIAO-TTP-19DS3243-01,3/1/2025 7:45:55 AM,,
113,Output,S12W1TTP,,Tân Thuận Phong,19DS-3243,S12,Waste Alkaline,S12W1,Lonox 5314; 5611,Nước thải bazo ( Lonox 5314; 5611),Pickling bases (Lonox 5314; 5611)(HW code: 07 01 03),Recycle,Nguy hại,Rác thuê xử lý,Recycle_Special_Controlled_Waste,Thùng phuy và pallet,0,0.00,10,11.00,58.00,0.00,,0.00,180.00,168.00,12.00,20250301-F1-GIAO-TTP-19DS3243-01,3/1/2025 7:41:46 AM,,
114,Output,S12W1TTP,,Tân Thuận Phong,19DS-3243,S12,Waste Alkaline,S12W1,Lonox 5314; 5611,Nước thải bazo ( Lonox 5314; 5611),Pickling bases (Lonox 5314; 5611)(HW code: 07 01 03),Recycle,Nguy hại,Rác thuê xử lý,Recycle_Special_Controlled_Waste,Thùng phuy và pallet,0,0.00,3,11.00,58.00,0.00,,0.00,180.00,91.00,89.00,20250301-F1-GIAO-TTP-19DS3243-01,3/1/2025 7:37:51 AM,,
115,Output,N02W2TL,,Thăng Long,17M7-6429,N02,Waste Paper,N02W2,Phế liệu ống carton, Carton core scrap (Phế liệu ống giấy), Carton core ,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân xe đẩy,0,0.00,0,0.00,45.00,0.00,,0.00,180.00,45.00,135.00,20250301-F1-GIAO-TL-17M76429-01,3/1/2025 6:46:29 AM,,
116,Output,N02W1TL,,Thăng Long,17M7-6429,N02,Waste Paper,N02W1,Bìa giấy carton,Carton paper scrap (Phế liệu bìa giấy), Carton paper ,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân xe đẩy,0,0.00,0,0.00,45.00,0.00,,0.00,180.00,45.00,135.00,20250301-F1-GIAO-TL-17M76429-01,3/1/2025 6:44:16 AM,,
117,Output,N02W1TL,,Thăng Long,17M7-6429,N02,Waste Paper,N02W1,Bìa giấy carton,Carton paper scrap (Phế liệu bìa giấy), Carton paper ,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân xe đẩy,0,0.00,0,0.00,45.00,0.00,,0.00,180.00,45.00,135.00,20250301-F1-GIAO-TL-17M76429-01,3/1/2025 6:41:21 AM,,
118,Output,N02W1TL,,Thăng Long,17M7-6429,N02,Waste Paper,N02W1,Bìa giấy carton,Carton paper scrap (Phế liệu bìa giấy), Carton paper ,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân xe đẩy,0,0.00,0,0.00,45.00,0.00,,0.00,180.00,45.00,135.00,20250301-F1-GIAO-TL-17M76429-01,3/1/2025 6:39:42 AM,,
